딥시크,(noun) Deep Seek
키보드,(noun) keyboard
입력,(noun) input
패턴,(noun) pattern
까지,(particle) up to / even / until
무차별,(noun/adverb) indiscriminate / indiscriminately
수집, (noun/verb root) collection / collecting
수집하다, (verb) to collect
中,(noun) 한자 중 China / medium / middle
기업,(noun) Company,
中기업,(noun) Chinese Company / medium sized company
에,(particle) to / toward
줬다, (verb) gave. past tense to give
주다, (verb) to give
영주권 [永住權],(noun) Permanent resident
북한, (noun) North Korea
포로, (noun) Prisoner of war, POW
단독, (adjective) Exclusive, sole, independent
인터뷰, (noun) Interview
